,GCcleanPOBlat,GCcleanPOBlon,Unnamed: 0_x,count,cleanPOBtown_x,cleanPOBcnty_x,cleanPOBst_x,GCcleanPOBplace_x,Unnamed: 0_y,ersatz_id,rawPOB,cleanPOBtown_y,cleanPOBcnty_y,cleanPOBst_y,GCcleanPOBprec,GCcleanPOBplace_y
0,-45.8522224,170.3938255,1,1,1,0,1,1,17156,17157,Dunedin New Zealand,Dunedin,,New Zealand,town,Dunedin New Zealand
1,-37.7513552,145.0611855,1,1,1,0,1,1,10191,10192,Heidelberg Australia,Heidelberg,,Australia,town,Heidelberg Victoria Australia
2,-36.8629409,174.7253868,1,1,1,0,1,1,16036,16037,Achland New Zealand,Auckland,,New Zealand,town,Auckland New Zealand
3,-29.848212,30.9224228,2,2,2,0,2,2,13837,13838,Durban Natal South Africa,Durban,,South Africa,town,Durban Natal South Africa
4,-25.7582734,28.0575211,2,2,2,0,2,2,21207,21208,Pretoria South Africa,Pretoria,,South Africa,town,Pretoria South Africa
5,-18.7719242,42.3713071,1,1,0,0,1,1,21323,21324,Madagascar Island,,,Madagascar,state,Madagascar
6,1.3139843,103.5640535,1,1,0,0,1,1,17669,17670,Singapore Straits Settlement,,,Singapore,state,Singapore
7,19.4326077,-99.133208,1,1,1,0,1,1,5569,5570,Mexico City Mexico,Mexico City,,Mexico,town,Mexico City Mexico
8,20.4551554,-101.5442507,1,1,1,0,1,1,17628,17629,Albasalo Mexico,Abasolo,,Mexico,town,Abasolo Mexico
9,20.6567088,-101.3624202,1,1,1,0,1,1,17382,17383,Irapuate Mexico,Irapuato,,Mexico,town,Irapuato Mexico
10,21.3069444,-157.8583333,1,1,1,0,1,1,22045,22046,Honolulu Hawaii,Honolulu,,Hawaii,town,Honolulu HI
11,22.1621947,-80.47371109999997,1,1,1,0,1,1,8114,8115,Cienfuegos Cuba,Cienfuegos,,Cuba,town,Cienfuegos Cuba
12,23.0509409,-82.4730863,1,1,1,0,1,1,29451,29452,Havana Cuba,Havana,,Cuba,town,Havana Cuba
